id,nparte,price,
65637,839336064,398,
65638,839336064,398,
65639,794320586,449,
65640,794320586,449,
65641,794320586,449,
65642,839432955,299,
65643,839432955,299,
65644,657773240,299,
65645,780440873,299,
65646,780440873,299,
65647,780440873,299,
65648,784806770,299,
65649,657755160,299,
65650,657755160,299,
65651,657755160,299,
65652,657755160,299,
65653,839336064,398,
65654,839336064,398,
65655,866691654,335,
65656,657751329,249,
65657,875499620,499,
65658,875499620,499,
65659,814728497,649,
65660,899289327,299,
65661,807719322,379,
65662,807719322,379,
65663,807719322,379,
65664,807719322,379,
65665,785716416,420,
65666,777619608,445,
65667,785740380,1,
65668,773532943,299,
65669,807707302,499,
65670,790810286,359,
65671,835613612,,
65672,737468434,299,
65673,772439233,599,
65674,853926233,499,
65675,792150071,499,
65676,804219677,399,
65677,739570174,299,1
65679,794989060,329,
65680,915699731,639,
65681,674439733,399,
65682,657152070,299,
65683,795994478,550,
65684,808261680,599,
65685,657416948,399,
65686,791862268,689,
65687,774581049,429,
65688,802238990,499,
65689,774030064,399,
65690,803007381,499,
65691,899293787,299,
65692,657411869,399,
65693,774583738,299,
65694,663100860,336,
65695,849562085,299,
65696,754617165,149,
65697,892734267,499,
65698,657820044,179,
65699,657745303,299,
65700,931670263,299,
65701,889821189,549,
65702,773227116,499,
65703,933902918,249,
65704,911004875,799,
65705,844770061,399,
65707,776392133,199,
65708,939495504,149,
65709,792742296,219,
65710,657820044,179,
65711,657419428,349,
65712,656834603,349,
65713,657418792,399,
65714,657414835,349,
65715,940091240,699,
65716,835613612,699,
65717,910342583,299,
65718,841039206,7,
65719,874287195,499,
65720,671981452,349,
65721,671981254,399,
65722,671979948,299,
65723,671980682,199,
65724,792734454,299,
65725,773962969,445,
65726,940536852,789,
65727,867634504,298,
65728,932774851,199,
65729,943359964,267,
65730,943322958,199,
65731,940479327,149,
65732,945712389,199,
65733,775551981,139,
65734,929299790,149,
65735,930606469,199,
65763,776392133,199,
65764,899297437,799,
65745,814728497,649,
65756,886030627,599,
65757,778273048,199,
65746,853926233,499,
65753,853926233,499,
65754,853926233,499,
65758,880320295,499,
65759,880320295,499,
65760,940451470,250,
65761,940451470,250,
65762,940451470,250,
65765,740348719,149,
65766,657782203,299,
65767,880387818,639,
65768,798332303,198,
65769,909931962,799,
65771,776187528,1,
65772,776187528,1,
65773,776187528,1,
65774,776187528,1,
65775,776187528,1,
65776,776187528,1,
65777,776187528,1,
65778,776187528,1,
65779,656835473,469,
65780,955310999,849,
65781,955310999,849,
65782,915313764,149,
65783,915313764,149,
65784,915313764,149,
65785,915313764,149,
65786,915313764,149,
65787,936953134,499,
65788,936953134,499,
65789,915620290,499,
65790,775946123,249,
65791,775946123,249,
65792,957849812,299,
65793,957849812,299,
65794,733537934,499,
65795,921586491,499,
65796,921586491,499,
65797,888172226,699,
65798,880293034,499,
65799,954698153,659,
65800,880286667,499,
65802,675881502,499,
65803,664631151,139,
65804,915624070,499,
65805,880310681,499,
65807,895771731,3,
65808,880312328,499,
65809,919214051,599,
65810,902483469,299,
65811,899312623,479,
65812,915709836,639,
65813,880306277,499,
65815,936041647,129,
65816,778282689,178,
65817,778291407,219,
65818,931670263,299,
65819,931670263,299,
65820,931670263,299,
65821,931670263,299,
65822,931670263,299,
65823,931670263,299,
65824,931670263,299,
65825,931670263,299,
65826,931670263,299,
65827,911061310,799,
65828,908645987,799,
65829,889821189,549,
65830,889821189,549,
65831,889821189,549,
65832,889821189,549,
65833,889821189,549,
65834,889821189,549,
65835,889821189,549,
65836,807724706,490,
65837,792124615,639,
65839,774581621,699,
65840,773657388,299,
65841,807707302,499,
65842,807707302,499,
65843,807707302,499,
65844,807707302,499,
65845,807707302,499,
65846,807707302,499,
65847,807707302,499,
65848,807707302,499,
65849,807707302,499,
65850,657121220,169,
65851,939495504,149,
65852,939495504,149,
